date,1. open,2. high,3. low,4. close,5. volume
2018-11-09,6465.1281,6511.27,6372.5477,6405.49,40966.0
2018-11-08,6550.3759,6563.1047,6442.47,6501.0,41445.0
2018-11-07,6501.473,6594.2641,6378.24,6447.5,51700.0
2018-11-06,6449.1362,6506.1125,6369.89,6403.2,43385.0
2018-11-05,6467.9055,6481.9589,6310.57,6421.76,33286.0
2018-11-04,6378.663,6514.5565,6312.48,6335.0,35495.0
2018-11-03,6421.252,6426.128,6328.33,6350.43,34182.0
2018-11-02,6392.9386,6436.5649,6288.01,6340.99,36553.0
2018-11-01,6354.1679,6419.7181,6199.25,6303.27,40689.0
2018-10-31,6311.1426,6400.3947,6238.5286,6269.46,39693.0
2018-10-30,6329.2411,6420.0,6208.37,6266.52,41941.0
2018-10-29,6469.1304,6484.5979,6288.7375,6405.57,52184.0
2018-10-28,6490.918,6502.4864,6381.25,6407.66,23293.0
2018-10-27,6519.0344,6544.9565,6377.81,6406.1,29984.0
2018-10-26,6492.3486,6558.4378,6361.73,6393.53,37650.0
2018-10-25,6524.5053,6536.5302,6393.0,6411.96,38360.0
2018-10-24,6509.7367,6584.1033,6354.26,6393.41,41176.0
2018-10-23,6539.2058,6553.4109,6372.53,6406.06,45241.0
2018-10-22,6556.138,6598.8629,6401.01,6413.38,44276.0
2018-10-21,6561.8565,6631.4019,6363.02,6412.86,26599.0
2018-10-20,6515.7359,6596.4335,6355.99,6383.46,42080.0
2018-10-19,6581.8201,6607.4202,6350.0,6396.18,54626.0
2018-10-18,6666.763,6718.3584,6407.69,6437.29,60383.0
2018-10-17,6704.7601,6745.7705,6386.4,6461.2,58647.0
2018-10-16,6685.3622,6810.3949,6149.28,6441.74,82874.0
2018-10-15,6317.5704,7403.4963,6143.08,6183.0,181980.0
2018-10-14,6316.6896,6397.3184,6168.83,6199.69,48959.0
2018-10-13,6282.9516,6325.7355,6109.79,6185.15,43484.0
2018-10-12,6225.8042,6520.43,6055.28,6152.76,70662.0
2018-10-11,6603.6594,6607.0548,6170.6223,6517.55,118451.0
2018-10-10,6642.4949,6644.1495,6498.1969,6588.8,52309.0
2018-10-09,6660.559,6670.3837,6541.06,6604.75,44453.0
2018-10-08,6609.1813,6713.6753,6493.92,6577.63,52723.0
2018-10-07,6593.7508,6635.3841,6526.1431,6544.08,36916.0
2018-10-06,6630.4328,6643.3757,6510.0,6582.12,35332.0
2018-10-05,6587.2231,6700.1623,6450.58,6547.56,48246.0
2018-10-04,6502.3775,6638.7736,6396.34,6456.77,52686.0
2018-10-03,6521.3876,6597.0,6427.0548,6500.0,61646.0
2018-10-02,6605.1916,6638.15,6477.57,6571.2,66321.0
2018-10-01,6623.4572,6660.7935,6507.373,6597.81,50412.0
2018-09-30,6596.2981,6658.8663,6454.0,6579.38,57218.0
2018-09-29,6633.9071,6792.28,6466.2348,6610.76,71540.0
2018-09-28,6690.4081,6814.3335,6431.95,6681.62,101311.0
2018-09-27,6465.3112,6736.0861,6379.44,6461.51,70457.0
2018-09-26,6442.4044,6579.59,6324.96,6428.99,73335.0
2018-09-25,6583.7012,6721.68,6330.4503,6581.52,89088.0
2018-09-24,6707.6918,6774.91,6558.412,6702.22,81806.0
2018-09-23,6722.0229,6826.28,6624.79,6710.01,63042.0
2018-09-22,6759.4673,6832.8063,6483.83,6749.45,73381.0
2018-09-21,6493.8788,6782.6413,6333.63,6492.98,107625.0
2018-09-20,6393.5072,6550.8265,6100.0,6388.4,63479.0
2018-09-19,6335.5528,6523.6322,6114.6214,6332.34,83973.0
2018-09-18,6250.4833,6530.24,6200.0,6254.52,66187.0
2018-09-17,6498.9777,6538.7585,6203.109,6499.98,73809.0
2018-09-16,6514.6406,6570.1,6379.6532,6520.15,49523.0
2018-09-15,6477.8345,6587.0,6384.36,6476.51,52019.0
2018-09-14,6487.2714,6587.122,6324.37,6485.7,79725.0
2018-09-13,6334.9452,6531.8764,6192.89,6322.45,86424.0
2018-09-12,6290.8778,6405.0,6162.06,6279.99,75353.0
2018-09-11,6314.8966,6404.0283,6170.3513,6301.99,77963.0
2018-09-10,6246.3219,6451.51,6094.38,6236.04,72446.0
2018-09-09,6184.3471,6465.46,6113.23,6178.31,76776.0
2018-09-08,6397.602,6525.0,6114.5703,6400.0,86195.0
2018-09-07,6512.2254,6705.59,6253.29,6493.09,100053.0
2018-09-06,6597.9301,7387.0,6277.1436,6679.3,155318.0
2018-09-05,7358.733,7411.85,6715.0813,7361.0,143455.0
2018-09-04,7263.9886,7411.5519,7184.0,7258.99,83869.0
2018-09-03,7300.5688,7346.243,7130.63,7290.31,78094.0
2018-09-02,7199.1678,7379.7302,7015.22,7185.01,109835.0
2018-09-01,7013.4838,7274.4589,6879.0,7017.35,87677.0
2018-08-31,6984.9259,7091.5375,6792.85,6984.01,90820.0
2018-08-30,7034.4798,7124.06,6791.8553,7032.96,101257.0
2018-08-29,7077.245,7132.06,6861.17,7080.94,90739.0
2018-08-28,6898.4279,7130.4854,6641.35,6904.51,114848.0
2018-08-27,6702.9593,6939.7702,6558.95,6700.46,86244.0
2018-08-26,6732.9728,6800.0,6564.7624,6732.4,59409.0
2018-08-25,6689.6481,6793.0242,6445.32,6692.94,57480.0
2018-08-24,6525.3111,6718.4385,6344.8,6525.01,82159.0
2018-08-23,6362.0347,6906.81,6250.0,6355.76,89540.0
2018-08-22,6480.4116,6850.8455,6246.05,6479.27,148763.0
2018-08-21,6254.2365,6522.99,6215.7665,6260.82,95624.0
2018-08-20,6481.6345,6545.0,6234.414,6481.99,101491.0
2018-08-19,6389.3114,6615.0,6303.0,6399.28,78899.0
2018-08-18,6581.1763,6601.8845,6290.64,6580.15,85500.0
2018-08-17,6315.3911,6587.2033,6208.37,6313.51,102471.0
2018-08-16,6268.424,6628.5,6186.02,6272.3,105655.0
2018-08-15,6190.2778,6624.513,5880.0,6193.62,164987.0
2018-08-14,6250.947,6544.37,5872.8918,6252.63,141643.0
2018-08-13,6311.6227,6543.901,6144.5153,6310.82,112585.0
2018-08-12,6222.9994,6494.13,6000.0,6239.98,73350.0
2018-08-11,6136.972,6584.05,5995.75,6139.99,85774.0
2018-08-10,6518.2364,6627.0,6026.1625,6543.76,99218.0
2018-08-09,6288.9369,6717.68,6121.0,6283.59,82750.0
2018-08-08,6718.1829,7155.0,6128.0418,6717.68,115431.0
2018-08-07,6937.3157,7157.93,6674.1846,6936.11,113972.0
2018-08-06,7080.0253,7140.1338,6834.3834,7032.61,68227.0
2018-08-05,7007.4277,7494.48,6903.1382,7009.99,30826.0
2018-08-04,7420.238,7542.92,6989.6135,7416.98,35920.0
2018-08-03,7532.0791,7709.98,7295.5124,7536.37,38573.0
2018-08-02,7626.6576,7761.56,7440.0,7602.01,46375.0
2018-08-01,7732.7088,8162.37,7441.827,7725.43,71374.0
2018-07-31,8175.5777,8295.0,7655.1852,8160.21,83922.0
2018-07-30,8210.5101,8299.99,7864.2169,8216.74,58780.0
2018-07-29,8239.1518,8307.7242,8051.43,8237.74,23772.0
2018-07-28,8191.1163,8274.98,7798.48,8183.05,33731.0
2018-07-27,7938.1085,8314.23,7808.4086,7926.0,62767.0
2018-07-26,8173.8423,8475.0,7862.7036,8174.06,62853.0
2018-07-25,8385.0038,8496.96,7691.14,8403.83,76188.0
2018-07-24,7718.233,8499.8433,7369.86,7719.62,102344.0
2018-07-23,7403.7283,7814.7744,7336.15,7396.6,77323.0
2018-07-22,7415.6397,7581.3161,7212.0,7409.92,38656.0
2018-07-21,7339.0631,7696.88,7226.6182,7330.84,36987.0
2018-07-20,7475.6775,7688.6909,7278.84,7471.42,69084.0
2018-07-19,7378.6664,7599.98,7239.15,7378.1,60692.0
2018-07-18,7327.4733,7576.5894,6657.95,7310.71,80044.0
2018-07-17,6733.0012,7476.153,6333.63,6721.04,66733.0
2018-07-16,6348.6254,6750.6047,6227.76,6349.3,50599.0
2018-07-15,6251.0754,6389.8313,6180.0,6243.98,24884.0
2018-07-14,6221.8298,6337.25,6121.01,6215.59,26524.0
2018-07-13,6262.1388,6380.0,6072.0,6243.88,38428.0
2018-07-12,6415.1909,6415.6649,6088.6957,6380.0,45295.0
2018-07-11,6362.8622,6683.9,6270.84,6299.46,37576.0
2018-07-10,6697.2122,6814.72,6309.9933,6666.75,47951.0
2018-07-09,6738.9902,6857.5605,6658.6382,6706.6,33715.0
2018-07-08,6795.3534,6823.7289,6510.0,6759.99,27845.0
2018-07-07,6652.0277,6858.6787,6449.76,6596.53,32624.0
2018-07-06,6567.3501,6700.0,6445.31,6533.69,34431.0
2018-07-05,6609.7886,6792.28,6413.2,6584.25,41615.0
2018-07-04,6534.1254,6773.2447,6433.3862,6507.99,36247.0
2018-07-03,6634.5743,6693.9642,6270.69,6612.98,41200.0
2018-07-02,6365.7061,6690.6495,6259.34,6349.99,54676.0
2018-07-01,6439.911,6510.0,6190.28,6385.71,33770.0
2018-06-30,6225.8936,6549.7742,5774.72,6204.24,56239.0
2018-06-29,5861.3507,6217.0219,5794.8144,5848.33,95497.0
2018-06-28,6141.7066,6181.11,5838.8186,6135.64,77908.0
2018-06-27,6093.3637,6277.0,6013.312,6068.0,47981.0
2018-06-26,6262.6212,6365.34,6062.2214,6253.61,50913.0
2018-06-25,6167.4334,6356.5048,5780.0,6153.4,62511.0
2018-06-24,6173.2179,6267.6185,5780.5565,6177.38,78764.0
2018-06-23,6075.2343,6737.97,5940.0,6050.45,56352.0
